question,answer,topic,source
"海豚是怎么睡觉的？","海豚是单半球慢波睡眠动物，左右大脑交替休息，一半大脑保持清醒以控制呼吸和警惕危险，所以它们不会完全“睡着”。",general,"动物睡眠科普"
"长颈鹿每天只睡多久？","长颈鹿是睡眠最少的哺乳动物之一，每天只睡约1.9小时，且通常站立打盹，深度睡眠仅几分钟。",general,"动物行为研究"
"人类一生中花在睡觉上的时间大概是多少？","按平均寿命78岁、每天8小时睡眠计算，人一生约花26年时间睡觉，其中约8年在做梦。",general,"睡眠统计"
"有没有完全不睡觉的动物？","目前没有发现完全不睡觉的动物，但有些动物（如牛蛙、某些鸟类迁徙期）可以极长时间减少睡眠。",general,"动物睡眠研究"
"梦游时为什么很少受伤？","梦游者虽然意识不清，但大脑仍能激活部分运动协调和障碍物规避能力，不过仍可能发生意外，不应叫醒梦游者（只需引导回床）。",general,"睡眠医学"
"为什么有时候梦里的时间感觉很漫长？","梦境中的时间感知与清醒不同，REM期大脑活动加快，可能将几秒的神经信号“延展”成几分钟甚至更长的故事体验。",general,"睡眠心理学"
"睡觉时身体突然抽一下是什么原因？","这叫临睡肌跃，发生于入睡初期，大脑皮层兴奋与抑制转换时，部分运动神经被意外激活，属于正常生理现象。",general,"睡眠医学基础"
"古代人类是分段睡觉的吗？","工业革命前，许多文化采用“两段式睡眠”：先睡3-4小时，醒来活动1-2小时（聊天、做爱、祈祷），再睡第二段。",general,"睡眠历史学"
"午睡文化最盛行的国家是哪个？","西班牙有著名的“siesta”午睡传统，但现代西班牙人已较少午睡；中国仍是午睡最普遍的国家之一。",general,"文化比较"
"咖啡因对睡眠的影响会遗传吗？","会，有些人携带CYP1A2基因变异，代谢咖啡因速度慢，下午喝咖啡也会影响夜间睡眠；快速代谢者则影响小。",general,"睡眠遗传学"
"为什么冬天容易赖床？","冬季日照短，褪黑素分泌高峰延长；同时寒冷环境让人更想蜷缩保温，大脑会推迟清醒信号。",general,"睡眠生理"
"睡眠不足会让人更自私吗？","研究发现，睡眠不足会降低前岛叶活动，减少对他人的共情和帮助意愿，确实可能让人变得更自私。",general,"行为神经科学"
"左侧卧真的会压迫心脏吗？","对健康人影响可忽略不计；但心衰患者左侧卧可能因心脏位置变化轻微增加不适感，右侧卧更优。",general,"心血管睡眠研究"
"世界上最长不睡觉的世界纪录是多少？","1964年，17岁高中生Randy Gardner保持清醒264小时（11天），期间出现幻觉、记忆错乱，但恢复后无明显长期损伤。",general,"睡眠剥夺研究"
"为什么有人睡觉会磨牙？","磨牙症与压力、咬合、睡眠呼吸事件有关，儿童常见且多随年龄消失；成人持续磨牙可能损伤牙齿。",general,"口腔睡眠医学"
"睡眠中能学习新东西吗？","极有限：睡眠中可建立简单的条件反射（如声音与气味关联），但无法学习复杂知识，所谓的“睡眠学习”效果很差。",general,"神经科学"
"宇航员在太空怎么睡觉？","国际空间站有睡眠舱，宇航员睡在垂直或水平固定的睡袋里，微重力下无上下之分，需戴眼罩和耳塞。",general,"航天睡眠医学"
"手机屏幕的蓝光比太阳弱很多，为什么还会影响睡眠？","因为夜间环境光很低，手机屏幕的相对亮度足以抑制松果体分泌褪黑素，尤其是短波蓝光。",general,"光生物学"
"为什么有的人睡觉会流口水？","侧卧时重力导致唾液流出；或因为鼻塞被迫张口呼吸，唾液分泌相对增多。通常是正常现象。",general,"睡眠常识"
"猫一天要睡多久？","家猫平均每天睡12-16小时，但大部分是浅睡（打盹），真正深睡眠只有约4-5小时。",general,"动物睡眠"
