question,answer,topic,source
"《中国成人失眠诊断与治疗指南（2023版）》中失眠的核心诊断标准是什么？","核心标准为：入睡困难≥30分钟、睡眠维持障碍、早醒，每周≥3次，持续≥3个月，伴随日间功能受损，排除其他躯体/精神疾病及睡眠障碍。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"失眠的首选治疗方式是什么？","慢性失眠首选失眠认知行为治疗（CBT-I），为一线治疗方案，优于药物治疗。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"失眠药物治疗的适用人群是什么？","适用于短期急性失眠、CBT-I无效的慢性失眠患者，需在医生指导下短期、间断使用。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"苯二氮?类安眠药使用原则是什么？","短期使用（≤4周）、小剂量起始、避免长期连续使用，防止依赖、戒断反应及认知损伤。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"非苯二氮?类助眠药有哪些优势？","起效快、半衰期短、次日宿醉效应轻、依赖风险低，是成人失眠首选药物。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"老年失眠患者用药有什么禁忌？","避免使用长效苯二氮?类药物，易引发跌倒、认知障碍，首选非苯二氮?类短效药物。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"失眠合并焦虑的治疗原则是什么？","同步干预焦虑情绪与失眠，首选CBT-I联合抗焦虑药物，不单纯使用助眠药。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"什么是生理性失眠？诊断标准是什么？","因环境、压力、临时事件引发的短期失眠，持续＜3个月，无日间功能严重受损，去除诱因后可自愈。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"失眠认知行为治疗（CBT-I）包含哪些核心内容？","包含睡眠限制、刺激控制、认知重构、放松训练、睡眠卫生教育五大核心模块。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"孕妇失眠可以使用助眠药物吗？","孕期失眠优先非药物治疗，仅重度失眠需在产科医生评估下，慎用短效非苯二氮?类药物，禁用苯二氮?类。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"成人阻塞性睡眠呼吸暂停（OSA）的诊断金标准是什么？","多导睡眠监测（PSG）是诊断金标准，AHI（呼吸暂停低通气指数）≥5次/小时即可诊断。",osa,"成人阻塞性睡眠呼吸暂停诊治指南2025版"
"OSA的病情分级标准是什么？","轻度：AHI 5-14次/小时；中度：AHI 15-29次/小时；重度：AHI≥30次/小时。",osa,"成人阻塞性睡眠呼吸暂停诊治指南2025版"
"中重度OSA的首选治疗方案是什么？","中重度OSA首选无创气道正压通气治疗（CPAP），为一线标准治疗。",osa,"成人阻塞性睡眠呼吸暂停诊治指南2025版"
"轻度OSA的治疗方式有哪些？","可选择减重、侧卧睡眠、口腔矫治器、避免饮酒及镇静药物，无需首选CPAP。",osa,"成人阻塞性睡眠呼吸暂停诊治指南2025版"
"OSA患者为什么不能饮酒？","酒精会松弛咽喉部肌肉，加重气道塌陷，使呼吸暂停次数增加、缺氧加重。",osa,"成人阻塞性睡眠呼吸暂停诊治指南2025版"
"儿童OSA的主要病因是什么？","儿童OSA主要病因为腺样体肥大、扁桃体肥大，其次为肥胖、颅面畸形。",osa,"儿童睡眠障碍诊疗指南"
"儿童OSA的首选治疗是什么？","腺样体/扁桃体切除术是儿童OSA的一线治疗，术后多数患儿症状可明显缓解。",osa,"儿童睡眠障碍诊疗指南"
"OSA合并高血压的治疗原则是什么？","同步降压治疗与OSA干预，CPAP治疗可有效降低OSA患者的夜间高血压。",osa,"成人阻塞性睡眠呼吸暂停诊治指南2025版"
"多导睡眠监测（PSG）需要监测哪些指标？","需监测脑电、眼电、肌电、心电、血氧饱和度、呼吸气流、胸腹运动等核心指标。",osa,"PSG技术操作规范"
"家庭睡眠监测（HSAT）适用于哪些人群？","适用于高度怀疑中重度OSA、无严重合并症的成人患者，不适用于儿童、合并心肺疾病患者。",osa,"成人阻塞性睡眠呼吸暂停诊治指南2025版"
"AASM睡眠分期标准将睡眠分为哪几期？","分为清醒期（W）、非快速眼动睡眠（N1、N2、N3期）、快速眼动睡眠（REM期）。",general,"AASM睡眠分期标准"
"N1期睡眠的特征是什么？","浅睡眠阶段，占总睡眠5-10%，易被唤醒，脑电以低波幅混合波为主，是入睡初期阶段。",general,"AASM睡眠分期标准"
"N2期睡眠的特征是什么？","中度浅睡眠，占总睡眠45-55%，出现睡眠纺锤波和K复合波，是睡眠的主要阶段。",general,"AASM睡眠分期标准"
"N3期睡眠的特征是什么？","深睡眠阶段，占总睡眠15-25%，脑电以高波幅δ波为主，是身体修复的核心阶段。",general,"AASM睡眠分期标准"
"REM期睡眠的特征是什么？","快速眼动睡眠，占总睡眠20-25%，眼球快速运动、肌肉松弛，是做梦、记忆巩固的阶段。",general,"AASM睡眠分期标准"
"睡眠效率的正常标准是什么？","睡眠效率=实际睡眠时间/卧床时间×100%，正常睡眠效率≥85%，＜80%提示睡眠质量差。",general,"睡眠监测指南"
"睡眠潜伏期的正常范围是多少？","睡眠潜伏期（从躺下到入睡的时间）正常为10-20分钟，＞30分钟为入睡困难。",general,"睡眠监测指南"
"不宁腿综合征（RLS）的诊断标准是什么？","核心标准：下肢不适感、活动后缓解、静息时加重、夜间症状加重，排除其他躯体疾病。",general,"睡眠障碍诊疗指南"
