question,answer,topic,source
"成年人每天需要睡多久才健康？","我国权威指南推荐成年人每日睡眠时间为7-9小时，老年人适宜7-8小时，青少年需8-10小时，婴幼儿睡眠时间更长。",general,"国家卫健委睡眠科普"
"睡眠分为哪几个主要阶段？","睡眠主要分为清醒期、非快速眼动睡眠（浅睡眠、深睡眠）和快速眼动睡眠（做梦主要阶段），完整睡眠周期约90分钟。",general,"中国睡眠研究会"
"深睡眠有什么作用？","深睡眠是身体修复的核心阶段，能修复细胞、巩固记忆、调节免疫力、促进生长激素分泌，缺深睡眠会导致疲惫、记忆力下降。",general,"睡眠医学基础科普"
"做梦是睡眠质量差的表现吗？","不是，做梦是快速眼动睡眠期的正常生理现象，只要不频繁噩梦、不影响日间精神，做梦不代表睡眠差。",general,"中国睡眠研究会"
"正常的睡眠节律是什么样的？","健康睡眠节律是昼夜节律，遵循日出而作日落而息，夜间11点至凌晨3点是深睡眠黄金时段，固定作息能稳定节律。",general,"国家卫健委睡眠科普"
"睡眠不足会立刻有什么表现？","短期睡眠不足会出现头晕乏力、注意力不集中、情绪烦躁、反应变慢、食欲异常，长期会引发多种健康问题。",general,"国家卫健委睡眠科普"
"睡太久对身体有害吗？","是的，成年人每日睡眠超过10小时属于嗜睡，会导致代谢变慢、头晕乏力、心血管负担加重，还会影响日间精神状态。",general,"中国睡眠研究会"
"什么是生物钟？和睡眠有什么关系？","生物钟是人体内在的昼夜节律调节器，受光照、作息影响，生物钟紊乱会直接导致失眠、睡眠浅、昼夜颠倒。",general,"睡眠医学基础科普"
"为什么有的人天生睡得少还精神？","少数人属于短睡眠基因携带者，每日睡眠4-6小时即可满足需求，这是遗传特质，并非人人适用，不可刻意模仿。",general,"睡眠医学科普"
"睡眠质量和睡眠时间哪个更重要？","同等重要，优质睡眠需时长达标+深睡眠充足，只睡够时长但全程浅睡，依然会觉得疲惫。",general,"中国睡眠研究会"
"睡前玩手机会影响睡眠吗？","会，手机蓝光会抑制褪黑素分泌，打乱生物钟，且信息刺激让大脑兴奋，导致入睡困难、睡眠变浅。",sleep_hygiene,"国家卫健委睡眠科普"
"午睡多久最合适？","健康午睡时长为20-30分钟，能缓解疲劳；超过1小时易进入深睡眠，醒来会头昏，还会影响夜间睡眠。",sleep_hygiene,"中国睡眠研究会"
"午睡的最佳时间是什么时候？","最佳午睡时间是中午12:30-13:30，此时人体易犯困，午睡效果最好，避免下午3点后午睡。",sleep_hygiene,"国家卫健委睡眠科普"
"熬夜后补觉能弥补损伤吗？","偶尔熬夜补觉可缓解疲劳，但长期熬夜造成的生物钟紊乱、脏器损伤无法通过补觉完全修复。",sleep_hygiene,"中国睡眠研究会"
"睡前泡脚有助于睡眠吗？","是的，睡前用40℃左右温水泡脚10-15分钟，能促进血液循环、放松身心，帮助快速入睡。",sleep_hygiene,"国家卫健委睡眠科普"
"睡前喝牛奶能助眠吗？","牛奶含少量色氨酸，有轻微助眠作用，更关键是温热牛奶带来的舒缓感，对轻度入睡困难有帮助。",sleep_hygiene,"睡眠科普指南"
"睡觉应该左侧卧还是右侧卧？","健康人群推荐右侧卧，不压迫心脏；孕妇推荐左侧卧；打鼾人群建议侧卧，避免仰卧加重打鼾。",sleep_hygiene,"中国睡眠研究会"
"睡觉蒙头睡有什么危害？","蒙头睡会导致呼吸不畅、缺氧，引发睡眠浅、头晕、胸闷，还会吸入大量二氧化碳，影响睡眠质量。",sleep_hygiene,"国家卫健委睡眠科普"
"睡前运动能助眠吗？","轻度拉伸、瑜伽可以，但剧烈运动（跑步、健身）会让大脑兴奋，建议睡前3小时内避免剧烈运动。",sleep_hygiene,"睡眠健康指南"
"卧室温度多少最适合睡觉？","卧室适宜睡眠温度为18-22℃，温度过高易燥热多梦，过低易受凉，均会降低睡眠质量。",sleep_hygiene,"国家卫健委睡眠科普"
"枕头高度怎么选才合适？","仰卧时枕头高度以一拳为宜，侧卧时与肩同宽，过高过低都会导致颈椎不适、睡眠中断。",sleep_hygiene,"中国睡眠研究会"
"经常开窗睡觉好吗？","好，开窗能保持室内空气流通，避免缺氧，提升睡眠质量；冬季注意保暖，避免直吹冷风即可。",sleep_hygiene,"国家卫健委睡眠科普"
"睡前多久不能吃东西？","睡前2-3小时不宜进食，饱腹会加重肠胃负担，导致入睡困难、夜间易醒；饥饿可少量吃清淡食物。",sleep_hygiene,"睡眠健康指南"
"咖啡和浓茶对睡眠的影响持续多久？","咖啡因代谢半衰期约4-6小时，下午2点后饮用咖啡、浓茶，大概率会影响夜间入睡。",sleep_hygiene,"中国睡眠研究会"
"熬夜后第二天怎么快速恢复精神？","可短暂午睡20分钟、补充温水、吃富含维生素的食物，避免暴饮暴食，晚间提前1小时入睡调整。",sleep_hygiene,"国家卫健委睡眠科普"
"什么情况算失眠？","每周出现3次及以上入睡困难（躺床30分钟睡不着）、早醒、睡眠浅，持续1个月以上，且日间精神差，即为失眠。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"偶尔睡不着是失眠症吗？","不是，偶尔因压力、情绪导致的入睡困难是生理性失眠，调整后可恢复，不属于慢性失眠症。",insomnia,"国家卫健委睡眠科普"
"压力大导致的失眠该怎么缓解？","可通过睡前冥想、深呼吸、听白噪音放松，避免睡前想烦心事，必要时写下来清空大脑。",insomnia,"中国睡眠研究会"
"越想睡着越睡不着怎么办？","这是睡眠焦虑，躺床20分钟仍睡不着就起床做放松的事，有困意再回床，不要强迫自己入睡。",insomnia,"睡眠医学科普"
"失眠会变成常态吗？","若不及时调整作息、缓解情绪，短期失眠会发展为慢性失眠，形成“怕睡不着→更睡不着”的恶性循环。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"晚上醒了就再也睡不着是什么原因？","多为早醒型失眠，常见于压力过大、焦虑、生物钟紊乱，也可能是抑郁情绪的伴随表现。",insomnia,"睡眠健康指南"
"多梦易醒属于失眠吗？","属于睡眠维持障碍型失眠，睡眠全程浅、频繁醒、多梦，会导致日间疲惫，属于失眠范畴。",insomnia,"中国睡眠研究会"
"老年人为什么容易失眠？","老年人褪黑素分泌减少、深睡眠变短，加上躯体疾病、情绪变化，更容易出现入睡难、早醒。",insomnia,"国家卫健委睡眠科普"
"学生熬夜学习导致失眠怎么办？","优先调整作息，固定入睡时间，减少睡前电子产品使用，通过课间放松缓解学习压力，避免长期熬夜。",insomnia,"睡眠健康指南"
"失眠可以靠喝酒助眠吗？","绝对不行，酒精会破坏深睡眠，导致睡眠碎片化，还会形成依赖，加重失眠，危害肝脏健康。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"为什么周末睡懒觉后反而更累？","周末睡懒觉会打乱生物钟，导致昼夜节律紊乱，出现“睡眠惯性”，醒来更疲惫，还会影响周一入睡。",insomnia,"中国睡眠研究会"
"失眠和心理状态关系大吗？","很大，80%以上的慢性失眠与焦虑、压力、抑郁等心理因素相关，情绪平复后失眠多会缓解。",insomnia,"国家卫健委睡眠科普"
"新生儿每天需要睡多久？","新生儿每日睡眠16-20小时，不分昼夜，随月龄增长，睡眠时间逐渐减少，夜间睡眠时长增加。",general,"国家卫健委儿童睡眠指南"
"婴儿频繁夜醒正常吗？","3个月内婴儿夜醒是正常生理需求，因饥饿、排尿醒来；6个月后可逐步培养夜间连续睡眠习惯。",general,"中国睡眠研究会"
"儿童晚睡会影响长高吗？","会，生长激素主要在夜间深睡眠分泌，晚睡、缺觉会减少生长激素分泌，直接影响儿童身高发育。",general,"国家卫健委儿童睡眠指南"
"孕妇失眠正常吗？该怎么改善？","孕期因激素变化、腹部压迫易失眠，推荐左侧卧、睡前少喝水、放松心情，避免擅自用助眠药物。",general,"孕期健康科普"
"老年人睡眠少是正常的吗？","老年人深睡眠减少、总睡眠时长缩短是正常生理现象，只要日间精神充足，无需刻意延长睡眠。",general,"中国睡眠研究会"
"上班族倒班怎么调整睡眠？","倒班后优先补夜间睡眠，佩戴眼罩耳塞营造黑暗环境，避免强光，逐步固定作息，减少频繁倒班。",general,"职业健康睡眠指南"
